Ref,Val,Package,PosX,PosY,Rot,Side
"R58","0R","R0805",118.828427,-79.757359,135.000000,bottom
"R59","0R","R0805",84.928933,-96.242641,315.000000,bottom
"R62","30R","R0805",40.879435,-83.808366,135.000000,bottom
"R63","10k","R0805",60.060030,-88.846826,135.000000,bottom
"R65","10k","R0805",57.231602,-86.018399,315.000000,bottom
"R68","100k","R0805",48.000000,-116.384776,315.000000,bottom
"U2","PCA9554DWR","PCA9554DWR",43.050253,-95.878679,45.000000,bottom
"U10","TPS2054BDR","TPS2054BDR",109.636039,-74.807612,315.000000,bottom
"U16","CMX60D20","CMX60D20",114.000000,-146.500000,180.000000,bottom
"C1","100n","C0805",95.000000,-60.000000,180.000000,top
"C3","100n","C0805",71.715729,-84.443651,315.000000,top
"C4","1u","C0805",66.161272,-110.201116,45.000000,top
"C5","1u","C0805",70.403912,-114.443757,45.000000,top
"C6","10u","C0805",84.443651,-87.272078,45.000000,top
"C7","100n","C0805",129.750000,-138.250000,225.000000,top
"C8","10u","C0805",128.250000,-136.750000,225.000000,top
"C9","100n","C0805",138.250000,-70.250000,315.000000,top
"C10","10u","C0805",136.750000,-71.750000,315.000000,top
"C11","100n","C0805",70.250000,-61.750000,45.000000,top
"C12","10u","C0805",71.750000,-63.250000,45.000000,top
"C13","100n","C0805",61.750000,-129.750000,135.000000,top
"C14","10u","C0805",63.250000,-128.250000,135.000000,top
"C15","100n","C0805",132.636039,-109.292893,225.000000,top
"C16","1u","C0805",125.899495,-118.828427,225.000000,top
"C17","1u","C0805",118.828427,-74.100505,315.000000,top
"C18","1u","C0805",81.171573,-125.899495,135.000000,top
"C19","100n","C0805",124.485281,-117.414214,225.000000,top
"C20","100n","C0805",117.414214,-75.514719,315.000000,top
"C21","100n","C0805",82.585786,-124.485281,135.000000,top
"C24","1u","C0805",84.928931,-96.242640,315.000000,top
"C26","1u","C0805",103.757360,-84.928931,225.000000,top
"C28","1u","C0805",115.071069,-103.757360,135.000000,top
"C33","1u","C0805",96.242640,-115.071068,45.000000,top
"C34","100n","C0805",119.000001,-56.000000,180.000000,top
"C35","100n","C0805",115.000000,-58.009998,0.000000,top
"C36","1n","C0805",115.000000,-54.000000,0.000000,top
"C37","4u7","C0805",115.000000,-56.004999,0.000000,top
"C38","1u","C0805",106.000000,-51.000000,90.000000,top
"C43","100n","C0805",81.550253,-51.721825,315.000000,top
"C44","100n","C0805",88.626320,-54.545253,45.000000,top
"C45","1n","C0805",82.964466,-55.964466,135.000000,top
"C46","4u7","C0805",84.378680,-54.550253,135.000000,top
"C47","1u","C0805",87.207107,-64.449747,225.000000,top
"C52","1u","C0805",99.292894,-119.535534,315.000000,top
"C53","1u","C0805",103.535535,-115.292893,315.000000,top
"C54","1u","C0805",73.129942,-90.100505,225.000000,top
"C55","1u","C0805",77.372583,-94.343146,225.000000,top
"C56","10u","C0805",76.665476,-79.493904,45.000000,top
"C57","100n","C0805",79.493903,-78.079690,315.000000,top
"C58","100n","C0805",78.079689,-80.908117,45.000000,top
"C59","100n","C0805",87.272078,-85.857864,135.000000,top
"C60","100n","C0805",88.686292,-84.443651,135.000000,top
"C61","100n","C0805",50.000000,-89.500000,0.000000,top
"C62","100n","C0805",46.000000,-89.500000,0.000000,top
"C67","1u","C0805",156.000000,-88.000000,135.000000,top
"C68","100n","C0805",43.000000,-94.500000,90.000000,top
"C69","100n","C0805",43.000000,-98.500000,90.000000,top
"D1","LED-BLUE","C503B",135.000000,-140.000000,315.000000,top
"D2","LED-GREEN","C503B",133.000000,-133.000000,135.000000,top
"D3","LED-RED","C503B",140.000000,-135.000000,315.000000,top
"D4","LED-BLUE","C503B",140.000000,-65.000000,45.000000,top
"D5","LED-GREEN","C503B",133.000000,-67.000000,225.000000,top
"D6","LED-RED","C503B",135.000000,-60.000000,45.000000,top
"D7","LED-BLUE","C503B",65.000000,-60.000000,135.000000,top
"D8","LED-GREEN","C503B",67.000000,-67.000000,315.000000,top
"D9","LED-RED","C503B",60.000000,-65.000000,135.000000,top
"D10","LED-BLUE","C503B",60.000000,-135.000000,225.000000,top
"D11","LED-GREEN","C503B",67.000000,-133.000000,45.000000,top
"D12","LED-RED","C503B",65.000000,-140.000000,225.000000,top
"D13","LED-SMD-RED","APT3216",35.000000,-106.500000,180.000000,top
"D15","LED-SMD-YELLOW","APT3216",155.050253,-123.435029,315.000000,top
"D16","LED-SMD-ORANGE","APT3216",152.226825,-126.268456,315.000000,top
"D17","LED-SMD-GREEN","APT3216",157.878680,-120.606602,315.000000,top
"J3","VL53L0X","7-188275-8",108.000000,-108.000000,225.000000,top
"J7","VL53L0X","7-188275-8",108.000000,-92.000000,315.000000,top
"J11","VL53L0X","7-188275-8",92.000000,-92.000000,45.000000,top
"J15","VL53L0X","7-188275-8",92.000000,-108.000000,135.000000,top
"J17","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB",35.000000,-98.500000,270.000000,top
"P1","UP-CORE","UP-CORE",100.000000,-100.000000,45.000000,top
"Q1","BSS138DW","BSS138DW",97.807612,-80.278175,45.000000,top
"Q2","BSS138DW","BSS138DW",106.292893,-71.792893,45.000000,top
"Q3","BSS138DW","BSS138DW",69.594408,-100.707107,315.000000,top
